ID,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,1,49,91107,4,1.6,1,0,0,1,0,0,0
2,19,34,90089,3,1.5,1,0,0,1,0,0,0
3,15,11,94720,1,1,1,0,0,0,0,0,0
4,9,100,94112,1,2.7,2,0,0,0,0,0,0
5,8,45,91330,4,1,2,0,0,0,0,0,1
6,13,29,92121,4,0.4,2,155,0,0,0,1,0
7,27,72,91711,2,1.5,2,0,0,0,0,1,0
8,24,22,93943,1,0.3,3,0,0,0,0,0,1
9,10,81,90089,3,0.6,2,104,0,0,0,1,0
10,9,180,93023,1,8.9,3,0,1,0,0,0,0
11,39,105,94710,4,2.4,3,0,0,0,0,0,0
12,5,45,90277,3,0.1,2,0,0,0,0,1,0
13,23,114,93106,2,3.8,3,0,0,1,0,0,0
14,32,40,94920,4,2.5,2,0,0,0,0,1,0
15,41,112,91741,1,2,1,0,0,1,0,0,0
16,30,22,95054,1,1.5,3,0,0,0,0,1,1
17,14,130,95010,4,4.7,3,134,1,0,0,0,0
18,18,81,94305,4,2.4,1,0,0,0,0,0,0
19,21,193,91604,2,8.1,3,0,1,0,0,0,0
20,28,21,94720,1,0.5,2,0,0,1,0,0,1
21,31,25,94015,4,0.9,2,111,0,0,0,1,0
22,27,63,90095,3,2,3,0,0,0,0,1,0
23,5,62,90277,1,1.2,1,260,0,0,0,1,0
24,18,43,91320,2,0.7,1,163,0,1,0,0,0
25,11,152,95521,2,3.9,1,159,0,0,0,0,1
26,19,29,94305,3,0.5,1,97,0,0,0,1,0
27,16,83,95064,4,0.2,3,0,0,0,0,0,0
28,20,158,90064,1,2.4,1,0,0,0,0,1,1
29,30,48,94539,1,2.2,3,0,0,0,0,1,1
30,13,119,94104,1,3.3,2,0,1,0,1,1,1
31,35,35,93106,1,1.2,3,122,0,0,0,1,0
32,16,29,94117,1,2,2,0,0,0,0,1,0
33,28,41,94801,2,0.6,3,193,0,0,0,0,0
34,6,18,91330,3,0.9,3,0,0,0,0,0,0
35,5,50,94035,4,1.8,3,0,0,0,0,1,0
36,24,81,92647,3,0.7,1,0,0,0,0,0,0
37,35,121,94720,1,2.9,1,0,0,0,0,0,1
38,25,71,95814,1,1.4,3,198,0,0,0,0,0
39,18,141,94114,3,5,3,0,1,1,1,1,0
40,13,80,94115,4,0.7,3,285,0,0,0,1,0
41,32,84,92672,3,1.6,3,0,0,1,0,0,0
42,9,60,94122,3,2.3,1,0,0,0,0,0,0
43,7,132,90019,4,1.1,2,412,1,0,0,1,0
44,15,45,95616,1,0.7,1,0,0,0,0,1,0
45,20,104,94065,1,5.7,1,0,0,0,0,1,1
46,31,52,94720,4,2.5,1,0,0,0,0,0,1
47,14,43,95014,3,0.7,2,153,0,0,0,1,0
48,12,194,91380,4,0.2,3,211,1,1,1,1,1
49,26,81,95747,2,4.5,3,0,0,0,0,0,1
50,16,49,92373,1,1.8,1,0,0,0,0,0,1
51,8,8,92093,4,0.7,2,0,0,1,0,1,0
52,37,131,94720,1,2.9,1,0,0,0,0,1,0
53,6,72,94005,1,0.1,1,207,0,0,0,0,0
54,26,190,90245,3,2.1,3,240,1,0,0,1,0
55,5,44,95819,1,0.2,3,0,0,0,0,1,0
56,17,139,94022,2,8,1,0,0,0,0,1,0
57,30,29,94005,3,0.1,2,0,0,1,1,1,0
58,31,131,95616,2,1.2,3,0,1,0,0,0,0
59,2,93,94065,2,0.2,1,0,0,0,0,0,0
60,5,188,91320,2,4.5,1,455,0,0,0,0,0
61,24,39,90404,3,1.7,2,0,0,1,0,1,0
62,21,125,93407,1,5.7,1,112,0,1,0,0,0
63,18,22,90089,1,1,1,0,0,0,0,0,0
64,17,32,94523,4,0,2,0,0,0,0,1,0
65,23,105,90024,2,3.3,1,0,0,0,0,0,0
66,35,131,91360,1,3.8,1,0,0,0,0,1,1
67,36,105,95670,2,2.8,1,336,0,0,0,0,0
68,23,45,95123,4,2,3,132,0,1,0,0,0
69,21,60,93407,3,2.1,1,0,0,0,0,1,1
70,29,20,90045,4,0.2,1,0,0,0,0,1,0
71,18,115,91335,1,3.5,1,0,0,0,0,0,1
72,29,69,93907,4,1,2,0,0,0,0,1,0
73,20,130,92007,1,5,1,0,0,0,0,0,1
74,16,85,94606,1,4,3,0,0,0,0,1,1
75,3,135,94611,2,3.3,1,0,0,0,0,0,1
