age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,4,179562,12,4,10,1,4,0,0,0,45,10,1
58,2,300969,5,2,14,0,4,1,0,0,40,39,0
38,4,151599,11,6,7,1,4,0,0,0,40,8,0
29,4,237663,15,4,3,1,4,1,0,0,40,39,0
40,7,98493,9,2,4,0,4,1,0,0,40,0,1
49,4,83897,11,2,6,0,1,1,0,0,46,39,1
32,4,418622,11,2,7,0,4,1,0,1889,40,39,0
34,4,172594,15,2,12,0,4,1,0,0,40,39,0
58,4,394316,9,2,10,0,4,1,0,0,47,39,1
51,4,98499,9,2,4,0,4,1,7484,0,40,39,1
45,4,192822,9,4,10,1,4,0,0,0,40,39,0
17,2,70206,9,4,10,3,2,0,0,0,34,39,0
55,4,279732,0,3,8,1,2,1,0,0,40,39,0
38,2,191009,7,2,11,0,4,1,0,0,40,39,0
69,0,80811,15,3,0,1,4,1,0,0,58,39,1
26,4,178762,9,2,12,0,4,1,0,0,52,39,1
49,4,201607,5,2,3,0,4,1,0,0,40,39,0
54,4,41040,11,2,12,0,4,1,3402,0,40,39,1
67,4,180049,11,2,12,0,1,1,0,0,50,35,0
43,4,306939,15,2,3,0,4,1,0,0,40,39,0
54,4,136116,11,6,8,4,4,0,0,0,36,39,0
55,4,341212,12,2,4,0,4,1,0,2325,47,39,1
39,4,204683,11,2,12,0,4,1,0,0,40,39,1
25,4,197177,2,4,4,4,4,0,0,0,38,39,0
34,2,82696,11,4,6,0,2,0,0,0,40,39,0
73,6,23961,11,2,3,0,4,1,0,0,59,39,0
33,6,218251,11,4,10,4,4,0,0,0,63,39,0
39,4,412753,12,2,12,0,4,1,0,0,50,11,1
45,6,127903,11,2,12,0,4,1,0,0,54,39,0
32,4,112170,9,2,3,0,4,1,0,0,40,39,1
26,4,344309,9,2,4,5,4,0,0,0,50,39,1
44,4,334149,11,4,8,4,2,0,0,0,40,39,0
41,4,197412,15,0,1,1,4,1,0,0,40,6,0
33,4,170505,9,2,10,0,4,1,0,0,40,39,1
27,4,108475,15,4,8,3,2,1,0,0,40,39,0
41,4,234166,8,2,12,0,4,1,0,0,50,39,1
56,0,30041,15,2,0,0,4,1,0,0,62,39,0
46,4,359680,11,2,14,0,4,1,7333,0,40,39,1
64,5,117139,12,2,4,0,4,1,8240,0,50,39,1
29,4,56940,9,4,13,1,1,0,0,0,30,39,0
41,6,88093,12,0,4,1,4,0,0,0,45,39,0
59,6,213122,10,2,10,0,4,1,0,0,40,39,1
18,4,216368,9,4,12,3,4,0,0,0,18,39,0
34,5,37862,11,4,12,4,4,1,0,0,50,39,0
61,4,245876,15,4,4,1,4,1,0,0,57,39,1
27,6,39273,11,2,5,0,4,1,0,0,12,39,0
42,6,178092,11,2,3,0,4,1,0,0,44,39,1
31,4,212073,9,4,13,3,4,0,0,0,59,0,1
47,4,20272,7,0,1,4,4,0,0,0,40,39,0
31,6,69254,12,2,4,0,4,1,0,0,91,39,0
55,2,156524,15,5,4,1,4,1,0,0,65,39,1
53,4,178133,11,2,8,0,4,1,14797,0,49,39,1
48,4,183894,0,2,3,0,4,1,0,0,32,2,0
18,4,114683,9,4,10,1,1,0,0,0,40,39,0
44,2,269097,15,0,12,3,4,0,0,0,40,39,0
28,4,131610,8,4,1,3,4,0,0,0,10,0,0
19,2,103176,15,4,8,1,2,0,3308,0,37,39,0
39,4,187359,15,4,13,1,2,1,0,0,40,39,1
41,4,159881,9,2,4,0,4,1,0,0,40,39,1
22,4,198919,11,0,8,1,4,0,0,0,40,39,0
63,4,133481,15,2,3,0,4,1,0,0,40,39,1
42,4,187154,9,0,10,1,4,1,0,1888,40,39,1
28,4,119085,11,2,11,0,2,1,0,0,78,39,0
32,4,119024,9,4,13,1,4,0,0,0,40,39,0
41,4,424195,9,2,4,0,4,1,0,0,44,39,0
