age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,4,259417,15,2,11,0,4,1,14063,0,40,39,0
20,2,133539,9,4,1,3,1,1,0,0,40,39,0
61,4,173963,9,2,14,0,4,1,5967,0,50,39,1
55,2,202358,8,2,10,5,4,1,0,0,40,39,1
55,6,129328,15,2,12,0,2,0,0,2333,58,39,0
63,8,212428,4,2,4,0,4,1,0,1883,58,39,1
19,4,107013,11,4,9,1,4,1,0,0,40,39,0
58,4,269167,11,2,4,0,4,1,22241,0,50,39,1
22,4,374858,11,4,14,1,4,1,0,0,40,39,0
20,4,183022,13,4,0,3,4,1,0,0,40,39,0
35,7,112238,1,2,3,0,4,1,0,0,58,39,0
32,4,168937,15,0,1,1,4,0,0,0,10,39,0
29,0,106894,0,4,6,3,2,1,0,0,50,39,0
41,3,200054,15,2,4,0,4,1,34106,0,40,39,1
47,6,126862,11,2,3,0,4,1,0,2310,58,39,1
40,4,144854,11,2,4,0,4,1,0,0,40,39,0
40,4,297503,11,2,5,0,4,1,0,0,40,39,1
19,4,182865,7,4,3,3,2,1,0,0,40,0,0
19,4,37382,9,4,13,4,4,1,0,0,21,39,0
33,4,159208,11,6,14,2,4,0,0,0,40,40,0
65,4,87704,15,4,5,4,1,1,0,0,40,39,0
21,4,38896,15,4,1,3,2,0,0,0,40,39,0
21,4,105913,5,4,3,1,4,1,0,0,36,39,0
46,6,220540,8,2,4,0,4,1,15719,0,50,39,1
39,4,330523,11,2,10,0,4,1,0,0,45,39,0
30,4,543080,11,0,12,4,2,1,0,0,40,39,0
43,0,40531,11,4,1,3,4,0,0,0,40,39,0
30,0,42157,6,6,13,4,4,0,0,0,40,39,0
61,5,96210,9,2,4,0,4,1,22270,0,40,39,1
49,4,41805,15,6,6,2,4,1,0,0,21,39,0
67,4,142449,9,2,5,0,4,1,0,0,40,39,1
33,4,186006,4,2,3,0,1,1,0,0,40,26,0
30,2,45783,1,5,0,3,4,1,0,0,12,39,1
37,6,110517,10,2,5,0,4,1,0,0,70,39,0
60,4,258475,8,2,10,5,1,1,6627,0,57,39,1
28,4,186573,11,5,0,1,2,0,0,0,40,26,0
26,4,79588,11,4,14,3,4,1,0,0,21,39,0
47,4,165482,11,6,1,4,4,0,0,0,40,39,0
20,4,129015,9,4,0,3,3,1,0,0,80,38,0
49,2,120891,11,2,4,0,4,1,0,0,40,39,1
57,6,105788,9,2,10,0,4,1,0,0,50,39,1
19,4,211422,15,4,0,1,1,1,0,0,11,39,0
20,7,261155,0,4,8,1,4,1,0,0,40,39,0
37,5,336936,2,2,3,0,4,1,0,0,45,39,1
61,6,143963,9,2,10,0,4,1,6523,0,58,39,1
34,7,317539,11,2,10,0,4,1,0,0,40,39,0
25,4,116118,5,5,13,4,2,1,0,0,40,26,0
40,8,364391,11,2,3,0,4,1,0,1989,50,39,0
58,6,45347,11,0,10,4,4,1,875,0,9,39,0
21,4,399920,11,4,6,4,4,1,0,0,40,39,0
45,4,280155,8,2,4,0,3,1,0,0,21,24,1
58,4,46447,15,2,0,5,4,1,0,0,40,39,1
56,7,126245,9,2,12,0,4,1,0,2709,36,39,0
20,4,44444,15,4,8,5,4,1,0,0,16,39,0
51,4,240253,11,2,5,0,4,1,0,0,27,39,1
20,4,481500,11,4,10,3,2,0,0,0,40,30,0
51,4,191279,4,2,10,0,4,1,0,0,40,39,1
18,4,215409,15,4,1,4,4,1,0,0,45,39,0
38,2,163690,9,2,14,0,4,1,0,0,58,39,0
38,0,108548,0,5,12,1,4,0,0,0,45,39,0
25,4,210878,11,0,3,2,4,0,0,0,30,14,0
39,4,153109,11,0,0,2,4,0,0,0,10,39,0
56,4,140384,11,5,8,4,4,1,0,1111,58,39,0
18,4,221662,6,4,6,1,4,1,4517,0,50,39,0
19,4,43133,15,4,12,3,4,0,0,0,40,39,0
33,1,106969,9,4,4,3,4,1,3343,0,21,39,0
68,4,24717,9,2,0,0,4,1,0,0,31,39,0
55,4,163668,11,2,4,1,4,1,0,0,36,39,1
38,4,185197,5,4,10,1,4,0,0,0,40,39,0
40,6,232298,11,2,10,0,4,1,0,2871,58,39,1
37,4,109632,15,2,3,0,4,1,0,0,40,39,0
19,4,215827,5,0,8,3,4,1,0,0,21,39,0
22,4,367843,0,4,10,1,2,1,0,0,40,39,0
26,1,170391,15,6,12,3,3,0,0,0,21,39,0
67,4,94645,15,0,10,4,4,0,0,0,37,39,0
48,5,50456,9,2,8,2,1,1,0,0,99,39,1
64,4,496968,11,4,12,3,4,0,0,0,36,39,0
34,4,223133,7,4,3,3,4,1,0,0,40,13,0
66,0,147561,11,6,4,5,4,0,5816,0,40,16,1
24,0,101684,10,4,3,1,4,1,0,0,50,39,0
